,posteam_type,yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,drive,qtr,goal_to_go,ydstogo,desc,shotgun,no_huddle,qb_dropback,qb_scramble,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,penalty,pass,run,4th_down_conversion,scoring_prob
329,1.0,64.0,292.0,292.0,292.0,22,4,0.0,10,"(4:52) (No Huddle, Shotgun) B.Quinn pass incomplete short middle to R.Royal (C.Greenway).",1,1,1.0,0,3.0,3.0,-22.0,0.3791709597517184,0.1526891891716502,0.0028400676199039337,0.21523459290161912,0.11204355763172756,0.003618935114081826,0.13440269780929906,0.0,1,0,0.0,0.015058956417855863
395,0.0,4.0,851.0,851.0,2651.0,8,2,0.0,1,"(14:11) Kv.Smith left end for 4 yards, TOUCHDOWN.",0,0,0.0,0,2.0,3.0,-11.0,0.01176124941981906,0.021943543986883474,7.8904203850885e-05,0.03587482207144755,0.8059464308181117,0.0028827007737412163,0.12151234872614612,0.0,0,1,1.0,0.09793244375616318
516,0.0,64.0,378.0,378.0,378.0,25,4,0.0,1,(6:18) (Pass formation) M.Stafford pass short right to B.Johnson pushed ob at 50 for 14 yards (T.Porter).,0,0,1.0,0,2.0,2.0,-19.0,0.2933830663614209,0.15313342197928434,0.002288266483171118,0.2289398722371441,0.08675106667415843,0.0035947336368951717,0.23190957262792586,0.0,1,0,1.0,0.020118402797420783
676,1.0,26.0,464.0,464.0,464.0,19,4,0.0,7,(7:44) (Shotgun) B.Leftwich pass incomplete short middle to K.Winslow [B.Carpenter].,1,0,1.0,0,3.0,3.0,-13.0,0.11327745097829765,0.06003940309033892,0.0004370458045456333,0.08990294065252763,0.5997551044638952,0.004225850573640046,0.1323622044367549,0.0,1,0,0.0,0.07938490774903739
697,1.0,2.0,91.0,91.0,91.0,21,4,1.0,2,"(1:31) B.Leftwich pass short right to K.Winslow for 2 yards, TOUCHDOWN.",0,0,1.0,0,3.0,3.0,-20.0,0.1906967591873416,0.012643408758417449,0.0009712983636753633,0.008473649497041578,0.6566734348797794,0.0019790059806750787,0.1285624433330695,0.0,1,0,1.0,0.08442354126006373
783,0.0,43.0,2.0,2.0,1802.0,10,2,0.0,2,"(:02) (Shotgun) M.Sanchez pass deep left to D.Keller to HOU 18 for 25 yards (D.Ryans). Penalty on HOU-D.Ryans, Taunting, declined.",1,0,1.0,0,0.0,3.0,10.0,0.6572858704698792,0.03952733801735453,0.0007366078375227719,0.029113154285814093,0.1875838631972493,0.0008182361436005885,0.08493493004857962,0.0,1,0,1.0,0.015932422298900697
813,1.0,51.0,217.0,1117.0,1117.0,14,3,0.0,2,(3:37) M.Schaub pass incomplete short middle to O.Daniels (E.Smith).,0,0,1.0,0,3.0,3.0,-17.0,0.01858067602354079,0.17418824717457626,0.00206177497628413,0.2674771017651816,0.2525163130144277,0.005975850203145443,0.27920003684284417,0.0,1,0,0.0,0.07050256389704737
860,0.0,29.0,120.0,120.0,120.0,20,4,0.0,1,(2:00) T.Richardson up the middle to HOU 27 for 2 yards (B.McCain). HOU-S.Cody was injured during the play.,0,0,0.0,0,3.0,2.0,18.0,0.3858573595760382,0.048420805850572735,0.0003127565351144799,0.07474029280668737,0.32350538002091245,0.0030953242813280685,0.16406808092934655,0.0,0,1,1.0,0.05307690687035008
942,1.0,54.0,8.0,8.0,1808.0,7,2,0.0,1,(:08) (Shotgun) P.Manning pass incomplete deep left to D.Clark.,1,0,1.0,0,1.0,1.0,1.0,0.7187559610706074,0.0485388610697145,0.001100644694559252,0.03588820847935894,0.0987527659948885,0.0007308848660533612,0.09623267382481814,0.0,1,0,0.0,0.009503242719284696
995,0.0,7.0,672.0,672.0,672.0,15,4,0.0,2,"(11:12) (Shotgun) M.Jones-Drew left end for 7 yards, TOUCHDOWN.",1,0,0.0,0,2.0,2.0,-8.0,0.02566251807137969,0.02456001519890083,0.00010110112093590214,0.039079626198116134,0.7980795879082447,0.0029668379766712213,0.1095503135257516,0.0,0,1,1.0,0.08742986907385085
